[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /Users/allat/Documents/github/PyDat-0919/lectures-seminars/7-pandas
[NotebookApp | INFO] 0 active kernels
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8888/?token=6525e1b29d297ff3c9086679b4f1a781269e0576e20a085d
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8888/?token=6525e1b29d297ff3c9086679b4f1a781269e0576e20a085d&token=6525e1b29d297ff3c9086679b4f1a781269e0576e20a085d
[NotebookApp | INFO] Accepting one-time-token-authenticated connection from ::1
[NotebookApp | INFO] Kernel started: 6b0fa653-c592-4160-9686-d69c9ceb8e64
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 6b0fa653-c592-4160-9686-d69c9ceb8e64
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Starting buffering for 6b0fa653-c592-4160-9686-d69c9ceb8e64:d24f9e05b6344ef686b4e77a831c0217
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 6b0fa653-c592-4160-9686-d69c9ceb8e64
[NotebookApp | INFO] Restoring connection for 6b0fa653-c592-4160-9686-d69c9ceb8e64:d24f9e05b6344ef686b4e77a831c0217
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /test2.csv
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /test2.csv
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Starting buffering for 6b0fa653-c592-4160-9686-d69c9ceb8e64:d24f9e05b6344ef686b4e77a831c0217
[NotebookApp | INFO] Kernel restarted: 6b0fa653-c592-4160-9686-d69c9ceb8e64
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 6b0fa653-c592-4160-9686-d69c9ceb8e64
[NotebookApp | INFO] Restoring connection for 6b0fa653-c592-4160-9686-d69c9ceb8e64:d24f9e05b6344ef686b4e77a831c0217
[NotebookApp | INFO] Replaying 9 buffered messages
[NotebookApp | INFO] Starting buffering for 6b0fa653-c592-4160-9686-d69c9ceb8e64:d24f9e05b6344ef686b4e77a831c0217
[NotebookApp | INFO] Kernel restarted: 6b0fa653-c592-4160-9686-d69c9ceb8e64
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 6b0fa653-c592-4160-9686-d69c9ceb8e64
[NotebookApp | INFO] Restoring connection for 6b0fa653-c592-4160-9686-d69c9ceb8e64:d24f9e05b6344ef686b4e77a831c0217
[NotebookApp | INFO] Replaying 7 buffered messages
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /test2.csv
[NotebookApp | INFO] Saving file at /test2.csv
[NotebookApp | INFO] Saving file at /test2.csv
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Saving file at /base_pandas.ipynb
[NotebookApp | INFO] Starting buffering for 6b0fa653-c592-4160-9686-d69c9ceb8e64:d24f9e05b6344ef686b4e77a831c0217
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 6b0fa653-c592-4160-9686-d69c9ceb8e64
[NotebookApp | INFO] Saving file at /pandas-part1.ipynb
[NotebookApp | INFO] Starting buffering for 6b0fa653-c592-4160-9686-d69c9ceb8e64:b1e9211c2eb14aa48a264e544ceef2c1
[NotebookApp | INFO] Kernel started: c4798645-b773-4c8b-b33f-769a42ded92c
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel c4798645-b773-4c8b-b33f-769a42ded92c
[NotebookApp | INFO] Saving file at /pandas-part2.ipynb
[NotebookApp | INFO] Saving file at /pandas-part2.ipynb
[NotebookApp | INFO] Saving file at /pandas-part2.ipynb
[NotebookApp | INFO] Saving file at /pandas-part2.ipynb
[NotebookApp | INFO] Saving file at /pandas-part2.ipynb
[NotebookApp | INFO] Starting buffering for c4798645-b773-4c8b-b33f-769a42ded92c:56f356aa867d401487895e3e417b85ec
